lemma,n
и,59
в,35
не,28
как,23
на,21
я,21
а,17
что,14
за,12
ли,12
по,10
где,9
весь,8
они,8
с,8
но,7
он,7
то,7
этот,7
быть,6
знать,6
ни,6
уже,6
да,5
она,5
после,5
сам,5
свой,5
себя,5
так,5
вот,4
всё,4
из,4
или,4
над,4
под,4
потом,4
только,4
без,3
вода,3
где-то,3
же,3
жизнь,3
звенить,3
какой,3
мы,3
наш,3
о,3
путь,3
сказать,3
слово,3
это,3
агидель,2
бывать,2
бюль,2
весна,2
ветвь,2
влачусь,2
вниз,2
вы,2
голова,2
для,2
душа,2
дюртюли,2
ее,2
жила,2
зачем,2
зоря,2
ибо,2
изикюль,2
их,2
й,2
к,2
каждый,2
кат,2
который,2
край,2
кровь,2
круг,2
кто,2
лицо,2
надежда,2
народ,2
нет,2
один,2
от,2
песок,2
плавня,2
плоть,2
поймешь,2
ползть,2
последний,2
пред,2
раз,2
рать,2
река,2
речной,2
самый,2
свет,2
со,2
судьба,2
талый,2
там,2
тогда,2
туда,2
тщет,2
ты,2
у,2
улица,2
чем,2
черный,2
шумить,2
-н,1
-то,1
-треть,1
«манон»,1
«слово,1
азарт,1
ай,1
актерка,1
астральный,1
багр,1
басманный,1
бедный,1
безголовый,1
безлюдность,1
безлюдный,1
безымянный,1
бела,1
белка,1
белье,1
бережный,1
берет,1
бестолочь,1
бесчувствие,1
благодаря,1
бог,1
божья,1
болото,1
большой,1
бос,1
бош,1
браконьерский,1
будто,1
будущий,1
буе,1
бы,1
бывший,1
бык,1
бытие,1
вагон,1
вахтенный,1
ваший,1
век,1
велик,1
веревка,1
верста,1
ветер,1
веткий,1
ветр,1
веть,1
вечерний,1
вечный,1
вещ,1
взбаламучить,1
вздой,1
вздыбить,1
взлетел,1
взять,1
виденья,1
видеть,1
вик,1
вина,1
винный,1
висить,1
вишня,1
включать,1
власть,1
влачить,1
влюбльный,1
вместе,1
водолей,1
возгонок,1
воздушный,1
ворожать,1
ворона,1
вот-вот,1
вправду,1
времен,1
врод,1
вроде,1
всего-то,1
всплыть,1
встречаться,1
всю-то,1
второй,1
выбор,1
выгореть,1
выж,1
выжй,1
вымен,1
выродиться,1
вырубок,1
высот,1
выход,1
вьюнок,1
галдеж,1
гиблый,1
глина,1
глубина,1
глубок,1
глуховатый,1
гляж,1
гляжу,1
гнета,1
говорить,1
гомон,1
гонять,1
горный,1
городище,1
гороха,1
